Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
main_wing,409.312359,349.862401,130.826298,116.179526
main_wing,409.312359,349.862401,130.826298,116.179526
vertical_stabilizer,127.006347,119.658005,45.349034,44.389116
horizontal_stabilizer,83.442938,77.680505,16.489952,15.949019
horizontal_stabilizer,83.442938,77.680505,16.489952,15.949019
nacelle_,90.670409,90.670409,15.208823,15.208823
nacelle_2,90.670409,90.670409,15.208823,15.208823
nacelle_3,90.670409,90.670409,15.208823,15.208823
nacelle_4,90.670409,90.670409,15.208823,15.208823
fuselage,838.173894,788.954965,1234.629807,1207.388330
Totals,2313.372474,2126.380421,1635.446632,1576.869833

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
main_wing_S_Surf0,310.254834,250.804876
main_wing_S_Surf1,310.254834,250.804876
vertical_stabilizer_S_Surf0,104.282837,96.934494
horizontal_stabilizer_S_Surf0,58.502889,52.740456
horizontal_stabilizer_S_Surf1,58.502889,52.740456
nacelle__S_Surf0,90.670409,90.670409
nacelle_2_S_Surf0,90.670409,90.670409
nacelle_3_S_Surf0,90.670409,90.670409
nacelle_4_S_Surf0,90.670409,90.670409
fuselage_S_Surf0,838.173894,788.954965
main_wing_S_Surf0,SS_CONT_0,0.882653,0.882653
main_wing_S_Surf0,SS_CONT_1,16.827013,16.827013
main_wing_S_Surf0,SS_CONT_2,29.453495,29.453495
main_wing_S_Surf0,SS_CONT_3,8.240041,8.240041
main_wing_S_Surf1,SS_CONT_0,0.882653,0.882653
main_wing_S_Surf1,SS_CONT_1,16.827013,16.827013
main_wing_S_Surf1,SS_CONT_2,29.453495,29.453495
main_wing_S_Surf1,SS_CONT_3,8.240041,8.240041
vertical_stabilizer_S_Surf0,SS_CONT_0,22.723510,22.723510
horizontal_stabilizer_S_Surf0,SS_CONT_0,24.940049,24.940049
horizontal_stabilizer_S_Surf1,SS_CONT_0,24.940049,24.940049
main_wing_S_Surf0,SS_CONT_0,SS_CONT_2,43.654322,43.654322
main_wing_S_Surf1,SS_CONT_0,SS_CONT_2,43.654322,43.654322

SS_Name, SS_Theo_Area, SS_Wet_Area
main_wing,SS_CONT_0,89.073951,89.073951
main_wing,SS_CONT_1,33.654027,33.654027
main_wing,SS_CONT_2,146.215634,146.215634
main_wing,SS_CONT_3,16.480083,16.480083
vertical_stabilizer,SS_CONT_0,22.723510,22.723510
horizontal_stabilizer,SS_CONT_0,49.880098,49.880098
